name,year,team,games_played,ftm,fta,tpa
Kyle Anderson,2010,San Antonio Spurs (SAS),81,351,444,23
Kyle Anderson,2010,Orlando Magic (ORL),81,92,119,143
Kyle Anderson,2010,Orlando Magic (ORL),82,269,297,333
Kyle Anderson,2010,Portland Trail Blazers (POR),27,164,188,125
Kyle Anderson,2010,Dallas Mavericks (DAL),81,133,157,189
Kyle Anderson,2010,Portland Trail Blazers (POR),75,138,197,271
Kyle Anderson,2010,Charlotte Hornets (CHA),80,138,164,342
Kyle Anderson,2010,San Antonio Spurs (SAS),80,98,125,324
Kyle Anderson,2010,Milwaukee Bucks (MIL),81,99,133,116
Kyle Anderson,2010,Los Angeles Lakers (LAL),31,6,12,5
Kyle Anderson,2010,Houston Rockets (HOU),5,0,0,0
Kyle Anderson,2010,Atlanta Hawks (ATL),51,72,98,243
Kyle Anderson,2010,Houston Rockets (HOU),74,216,295,0
Kyle Anderson,2009,Brooklyn Nets (BKN),65,129,160,150
Kyle Anderson,2010,Utah Jazz (UTA),81,181,247,217
Kyle Anderson,2010,Golden State Warriors (GSW),74,212,227,342
Kyle Anderson,2010,Utah Jazz (UTA),65,71,128,0
Kyle Anderson,2010,San Antonio Spurs (SAS),82,327,402,52
Kyle Anderson,2010,Los Angeles Lakers (LAL),82,162,218,253
Kyle Anderson,2010,New York Knicks (NYK),62,42,53,121
Kyle Anderson,2009,Brooklyn Nets (BKN),82,756,840,351
Kyle Anderson,2010,Miami Heat (MIA),22,24,36,54
Kyle Anderson,2010,New Orleans Pelicans (NOP),22,32,57,0
Kyle Anderson,2009,Oklahoma City Thunder (OKC),81,251,307,488
Kyle Anderson,2010,Toronto Raptors (TOR),81,220,294,7
Kyle Anderson,2010,San Antonio Spurs (SAS),54,194,241,144
Kyle Anderson,2010,Los Angeles Clippers (LAC),61,77,101,138
Kyle Anderson,2010,New York Knicks (NYK),80,100,148,8
Kyle Anderson,2010,Houston Rockets (HOU),56,287,348,291
Kyle Anderson,2010,Los Angeles Lakers (LAL),8,0,0,19
Kyle Anderson,2010,Detroit Pistons (DET),82,446,695,24
Kyle Anderson,2009,Houston Rockets (HOU),82,165,223,312
Kyle Anderson,2010,Houston Rockets (HOU),82,289,343,324
Kyle Anderson,2010,Miami Heat (MIA),13,16,20,0
Kyle Anderson,2010,Boston Celtics (BOS),72,69,97,74
Kyle Anderson,2010,Milwaukee Bucks (MIL),76,233,270,204
Kyle Anderson,2010,New Orleans Pelicans (NOP),82,172,209,222
Kyle Anderson,2010,Philadelphia 76ers (PHI),77,150,188,4
Kyle Anderson,2010,Los Angeles Lakers (LAL),78,546,916,7
Kyle Anderson,2010,Toronto Raptors (TOR),82,138,184,1
Kyle Anderson,2010,Miami Heat (MIA),67,208,300,181
Kyle Anderson,2010,Milwaukee Bucks (MIL),60,93,104,121
Kyle Anderson,2010,Los Angeles Lakers (LAL),79,503,663,279
Kyle Anderson,2010,Minnesota Timberwolves (MIN),25,41,58,25
Kyle Anderson,2010,Brooklyn Nets (BKN),80,98,217,1
Kyle Anderson,2010,Milwaukee Bucks (MIL),82,77,87,289
Kyle Anderson,2010,Dallas Mavericks (DAL),81,95,120,174
Kyle Anderson,2010,Milwaukee Bucks (MIL),82,385,489,1
Kyle Anderson,2010,Toronto Raptors (TOR),75,192,251,343
Kyle Anderson,2010,Cleveland Cavaliers (CLE),73,424,499,211
Kyle Anderson,2010,Washington Wizards (WAS),56,63,82,2
Kyle Anderson,2010,Milwaukee Bucks (MIL),67,74,100,0
Kyle Anderson,2010,Milwaukee Bucks (MIL),82,266,315,378
Kyle Anderson,2010,Los Angeles Lakers (LAL),79,134,230,3
Kyle Anderson,2010,Denver Nuggets (DEN),76,256,338,23
Kyle Anderson,2010,San Antonio Spurs (SAS),64,36,47,133
Kyle Anderson,2009,Los Angeles Clippers (LAC),64,163,219,0
Kyle Anderson,2010,Los Angeles Clippers (LAC),52,30,42,2
Kyle Anderson,2010,Oklahoma City Thunder (OKC),80,337,384,183
Kyle Anderson,2010,New Orleans Pelicans (NOP),59,112,128,219
Kyle Anderson,2010,Los Angeles Lakers (LAL),68,75,132,43
Kyle Anderson,2009,Detroit Pistons (DET),78,259,338,60
Kyle Anderson,2010,Houston Rockets (HOU),79,59,79,102
Kyle Anderson,2010,Washington Wizards (WAS),15,5,11,2
Kyle Anderson,2010,Atlanta Hawks (ATL),70,77,97,48
Kyle Anderson,2009,Brooklyn Nets (BKN),13,14,21,23
Kyle Anderson,2010,Minnesota Timberwolves (MIN),78,101,125,44
Kyle Anderson,2010,Houston Rockets (HOU),82,531,631,103
Kyle Anderson,2010,Los Angeles Clippers (LAC),75,293,356,253
Kyle Anderson,2010,Milwaukee Bucks (MIL),65,147,174,110
Kyle Anderson,2010,Chicago Bulls (CHI),82,123,174,22
Kyle Anderson,2010,Washington Wizards (WAS),78,159,196,339
Kyle Anderson,2007,Denver Nuggets (DEN),1,0,0,0
Kyle Anderson,2010,Memphis Grizzlies (MEM),65,105,131,115
Kyle Anderson,2010,Houston Rockets (HOU),64,95,117,341
Kyle Anderson,2009,Portland Trail Blazers (POR),65,286,362,5
Kyle Anderson,2009,Atlanta Hawks (ATL),82,293,416,2
